Lokasi,Komoditas,Januari 2018,Februari 2018,Maret 2018,April 2018,Mei 2018,Juni 2018,Juli 2018,Agustus 2018,September 2018,Oktober 2018,November 2018,Desember 2018,Januari 2019,Februari 2019,Maret 2019,April 2019,Mei 2019,Juni 2019,Juli 2019,Agustus 2019,September 2019,Oktober 2019,November 2019,Desember 2019,Januari 2020,Februari 2020,Maret 2020,April 2020,Mei 2020,Juni 2020,Juli 2020,Agustus 2020,September 2020,Oktober 2020,November 2020,Desember 2020,Januari 2021,Februari 2021,Maret 2021,April 2021,Mei 2021,Juni 2021,Juli 2021,Agustus 2021,September 2021,Oktober 2021,November 2021,Desember 2021,Januari 2022,Februari 2022,Maret 2022,April 2022,Mei 2022,Juni 2022,Juli 2022,Agustus 2022,September 2022,Oktober 2022,November 2022,Desember 2022,Januari 2023,Februari 2023,Maret 2023,April 2023,Mei 2023,Juni 2023
Kepulauan Riau,Beras Premium,,,12850,13316.67,13431.25,13300,13250,13250,13312.5,13250,13261.36,13250,13211.9,13200,13270,13600,13550,13675,13930.43,13800,,13800,13802.38,13800,13800,13800,13800,13800,13821.05,13466.67,13300,13300,13300,13300,13300,13300,13300,13300,13300,13300,13272.22,13300,13300,13300,13300,13300,13300,13313.04,13400,13400,13400,13395,13383.33,13400,13400,13400,13400,13457.14,13550,13550,13597.62,13615,13650,13721.05,13678.57,13750
DKI Jakarta,Beras Premium,,,,12200,12535.71,12400,12053.13,,12325,11950,12361.36,12271.43,12026.19,12016.67,11982.5,11750,11750,12100,11880.43,11673.53,,11654.35,11719.05,11656.25,11933.33,11825,11838.1,11914.29,12222.5,11880.95,11636.36,11719.44,11727.27,11631.58,11609.52,11682.5,11687.5,11747.37,11750,11669.05,11710.53,11719.05,11676.19,11622.5,11581.82,11617.5,11729.55,11578.26,11640.48,11627.78,11659.09,11700,11975,12050,12047.62,12015.22,11995.45,12430.95,12450,12477.27,12473.81,12810,13121.43,13505.26,13247.62,13214.71
Jawa Barat,Beras Premium,,,,12792.86,12675,12750,12440.63,12600,12275,12300,12277.27,12000,11976.19,12316.67,12075,11800,12150,12030,11976.09,12016.67,,11989.13,12007.14,11643.75,11702.38,11687.5,11778.57,11907.14,12120,12052.38,12095.45,12225,12320.45,12139.47,12047.62,12050,11952.5,11913.16,11695.45,11916.67,11807.89,11814.29,11850,11850,11850,11865,11847.73,11843.48,11773.81,11761.11,11747.73,11760,11744.44,11747.62,11730.95,11795.65,11797.73,12611.9,12652.27,12820.45,12890.48,13087.5,13057.14,13089.47,13007.14,12985.29
Jawa Tengah,Beras Premium,,,,13469.05,12850,13150,13131.25,13200,12912.5,12637.5,12325,12006.25,12023.81,12087.5,12090,11950,11950,11527.27,11943.48,11905.56,,11904.35,12028.57,11972.22,11978.57,12005,12116.67,12121.43,12057.5,12188.1,12293.18,12361.11,12354.55,12357.89,12359.52,12380,12015,12368.42,12263.64,12192.86,12236.84,12119.05,11900,12050,12104.55,12300,12352.27,12333.33,12306.52,11905.56,12202.27,12212.5,12111.11,12114.29,12169.05,12134.78,12172.73,12397.62,12534.09,12863.64,13002.38,13307.5,13321.43,13531.58,13502.38,13488.24
D.I. Yogyakarta,Beras Premium,,,,11911.9,11860,12100,12084.38,12050,11983.33,11937.5,11935.71,11864.29,12045.24,12210,12217.5,11700,11750,11918.75,12106.52,11882.35,,11745.65,11621.43,11450,11566.67,11577.5,11464.29,11473.81,11830,11457.14,11450,11444.44,11477.27,11647.37,11650,11610.53,11832.5,11884.21,11900,11902.38,12086.84,11835.71,11878.57,11765,11811.36,11657.5,11643.18,11630.43,11628.57,11569.44,11577.27,11655,11547.22,11526.19,11461.9,11332.61,11265.91,11242.86,11429.55,11781.82,12811.9,13872.5,13850,13536.84,13888.1,13861.76
Jawa Timur,Beras Premium,,,,12550,12207.14,11633.33,11634.38,11700,11225,11900,11890.91,12060,12164.29,12187.5,12155,11950,12150,12050,11884.78,11803.13,,11813.04,11769.05,11800,12083.33,12139.47,12195.24,12040.48,11944.44,12033.33,12056.82,12036.11,11900,11942.11,11907.14,11822.5,12395,12407.89,12402.27,11340.48,11132.35,11104.76,10911.9,10860,10840.91,10905,10859.09,10941.3,11028.57,11075,11127.27,11132.5,11156.67,11145.24,11116.67,11263.04,11354.55,11738.1,11806.82,12093.18,12369.05,12597.5,12404.76,12686.84,12811.9,12858.82
Banten,Beras Premium,,,,11657.14,11371.43,11314.29,11134.38,11150,11175,11250,11313.64,11531.25,12119.05,12087.5,11340,10550,10700,11037.5,11058.7,11058.82,,11071.74,11104.76,11125,11575,11433.33,11500,11445.45,11466.67,11630.95,11336.36,11400,11400,11421.05,11459.52,11352.5,11032.5,11350,11484.09,11559.52,11541.67,11547.62,11314.29,11245,11295.45,11295,11220.45,11215.22,11238.1,11000,10986.36,11136.84,11525,11564.29,11597.62,11752.17,12152.27,12580.95,12177.27,12581.82,12666.67,12750,12857.14,12942.11,12957.14,13044.12
Bali,Beras Premium,,,12000,11928.57,11287.5,11000,11000,11000,11000,10625,11000,11716.67,11904.76,12000,11625,11000,11000,11277.27,11548.15,11510,,11600,11600,11600,11663.64,11650,11733.33,11750,11630,11952.38,12000,11986.11,12000,11973.68,11988.1,12000,11957.5,11950,11818.18,11819.05,11715.79,11804.76,11621.43,11590,11650,11650,11650,11771.74,12000,11902.78,11800,11810,11825,11819.05,11809.52,11860.87,11981.82,11988.1,12056.82,12450,12595.24,13272.5,13278.57,13500,13359.52,13500
Nusa Tenggara Barat,Beras Premium,,,,,,9650,9960,10000,10000,11000,10923.81,11000,11000,11000,11002.5,11150,10800,10477.78,10543.48,10366.67,,10491.3,10711.9,10650,11088.1,11157.5,11209.52,11042.86,11000,11021.43,10952.27,10708.33,10650,10747.37,10666.67,11084.21,11000,11000,11013.64,11000,10979.41,10930.95,10983.33,11000,10977.27,11025,11045.45,11063.04,11171.43,11050,10997.73,10950,10883.33,10990.48,11030.95,11000,11000,10959.52,11150,11140.91,11445.24,12802.5,11407.14,12573.68,13000,12917.65
Nusa Tenggara Timur,Beras Premium,,,12000,11866.67,11928.57,12066.67,12162.5,11800,12025,12087.5,12050,12076.47,12000,12235.71,12112.5,13450,14850,13655,13671.74,13630.56,,13306.52,13354.76,13262.5,11990.48,12000,12000,12000,12000,12102.38,12000,11980.56,11975,12000,12000,11965,12000,12100,13436.36,13590.48,13891.67,13895.24,13904.76,13900,13900,13897.5,13920.45,13895.65,13900,13900,13868.18,13785,13316.67,13900,13900,13900,13922.73,12302.38,12350,12550,12759.52,13745,14473.81,14578.95,14340.48,14150
Kalimantan Barat,Beras Premium,,,13050,12988.1,12980,13020,13000,13000,12983.33,13000,13000,13000,13071.43,13094.44,13087.5,13050,13175,13050,13095.65,13100,,13102.17,13100,13100,13100,13107.5,13147.62,13147.62,13169.44,13147.62,13138.64,13136.11,13134.09,13107.89,13092.86,13102.5,13327.5,13397.37,13231.82,13243.18,13181.58,13407.14,13516.67,13545,13547.73,13370,13404.55,13450,13450,13450,13461.36,13480,13427.78,13450,13490.48,13508.7,13552.27,13850,13854.55,13915.91,14059.52,14417.5,14752.38,15297.37,15302.38,15267.65
Kalimantan Tengah,Beras Premium,,,12050,12895.24,12935.71,12864.29,12928.13,12900,12987.5,13025,13090.91,13106.67,13092.86,13187.5,13230,12875,12937.5,13185.29,13265.12,13230.3,,13124.14,13078.57,13075,13152.38,13047.5,13076.19,13597.62,14781.58,14519.05,14502.27,14322.22,14100,14134.21,13930.95,13821.05,13805,13802.63,13859.09,13807.14,13950,13802.38,13814.29,13762.5,13802.27,13815,13793.18,13782.61,13776.19,14444.44,14447.73,14470,14530.56,14366.67,14428.57,14421.74,15234.09,13973.81,14072.73,14418.18,14619.05,14832.5,15671.43,16239.47,16061.9,16111.76
Kalimantan Selatan,Beras Premium,,,,12459.52,12507.14,12966.67,12571.88,12150,11950,12600,12413.64,12289.29,12750,12383.33,12600,13200,13100,13816.67,14004.35,14011.76,,13904.35,13185.71,13075,13168.18,13235.71,13138.1,13452.38,14268.42,14378.57,14304.55,14372.22,14350,14294.74,14219.05,13855.26,14210,14394.74,14350,14340.48,14375,14340.48,14340.48,14360,14256.82,14375,14268.18,14350,14435.71,14327.78,14350,14450,14544.44,14700,14619.05,15167.39,15800,13045.24,13318.18,13704.55,14485.71,15070,15685.71,17397.37,17650,17676.47
Kalimantan Timur,Beras Premium,,,,12935.71,12871.43,12807.14,12800,12850,12862.5,12800,12768.18,12800,12600,12618.75,12577.5,12650,12550,12762.5,12767.39,12736.11,,12830.43,12807.14,12793.75,12754.76,12832.5,12828.57,12916.67,12972.5,12890.48,12813.64,12838.89,12852.27,13242.11,13397.62,13270,12780,13152.63,13154.55,13088.64,13034.21,13078.57,12861.9,12845,12884.09,12910,12922.73,12982.61,13047.62,12936.11,12984.09,12930,12980.56,13078.57,13054.76,13045.65,13075,13523.81,13554.55,13622.73,13673.81,13797.5,14026.19,14352.63,14138.1,14132.35
Kalimantan Utara,Beras Premium,,,,14400,14437.5,14450,14406.67,,13825,13562.5,13550,13771.88,14500,14268.75,13845,13500,13500,13668.75,13567.39,13541.67,,13536.96,13550,13561.11,14488.1,14475,14488.1,13795.24,13700,13700,13700,13691.67,13700,13747.37,13692.86,13697.37,14500,14157.89,13777.27,13497.62,13550,13507.14,13421.43,13442.5,13365.91,13372.5,13370.45,13367.39,13376.19,13511.11,13556.82,13545,13583.33,13547.62,13550,13552.17,13604.55,14028.57,14036.36,14077.27,14059.52,14470,14500,14692.11,14602.38,14647.06
Sulawesi Utara,Beras Premium,,,11000,11259.52,11331.25,11414.29,11400,11400,11425,11400,11404.55,11407.14,11400,11400,11317.5,11200,11150,10916.67,11043.48,11138.24,,11150,11157.14,11150,11230.95,11217.5,11288.1,11540.48,11510,11550,11565.91,11547.22,11565.91,11555.26,11550,11542.11,11550,11547.37,11552.27,11554.76,11523.68,11550,11550,11550,11550,11567.5,11647.73,11630.43,11640.48,11655.56,11638.64,11632.5,11583.33,11650,11371.43,11600,11647.73,12100,12097.73,12429.55,12714.29,12732.5,13176.19,13213.16,13364.29,13400
Sulawesi Tengah,Beras Premium,,,,11600,11535.71,11666.67,11828.13,11750,11500,11750,11720.45,11756.67,11742.86,11714.29,11750,11850,11750,11722.22,11686.96,11675,,11717.39,11707.14,11750,11750,11475,11366.67,11630.95,11210,11226.19,11250,11241.67,11250,11255.26,11261.9,11236.84,11297.5,11323.68,10829.55,10528.57,11268.42,10385.71,11133.33,11300,11300,11300,11300,11300,11304.76,11305.56,11297.73,11310,11250,11316.67,11300,11300,11463.64,11247.62,11218.18,11525,12116.67,12537.5,14107.14,13650,13066.67,13023.53
Sulawesi Selatan,Beras Premium,,,,11423.81,11192.86,11075,10584.38,10500,10825,10700,10797.73,10736.67,11000,10883.33,9982.5,11100,11150,11118.75,11219.57,11291.67,,11421.74,11383.33,11381.25,11333.33,11482.5,11550,11326.19,11352.94,11333.33,11336.36,11319.44,11295.45,11305.26,11280.95,11262.5,11220,11271.05,11368.18,11371.43,11444.44,11385.71,11092.86,11040,11047.73,11030,11031.82,11021.74,11030.95,11013.89,11025,11047.62,10955.56,11000,11000,11000,11004.55,10954.76,10947.73,11168.18,11216.67,11545,12376.19,12502.63,12519.05,12497.06
Sulawesi Tenggara,Beras Premium,,,11600,11366.67,11100,11116.67,11336.67,11450,10975,11200,11104.55,11193.75,10185.71,10171.43,10092.5,10550,,10368.75,10576.09,10511.76,,10456.52,10447.62,10300,9850,9847.5,10507.14,11107.14,10902.78,10602.38,10645.45,10608.33,10550,10494.74,10550,10550,10220,11028.95,11079.55,11300,11188.24,11095.24,11035.71,11240,11100,11100,11120.45,11100,10645.24,10700,10700,10697.5,10547.22,10600,10600,10565.22,10681.82,11952.38,12045.45,12154.55,12252.38,12340,12847.62,13534.21,13423.81,14000
Sulawesi Barat,Beras Premium,,,,11950,11535.71,11071.43,11187.5,11200,11200,11200,11200,11200,11200,11350,11400,12000,11825,12000,12000,12000,,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,11963.16,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,11988.1,12000,12000,12000,12000,12000,12000,12000,12000,11650,11650,11756.82,11864.29,12270,12600,12600,12600,12600
Maluku,Beras Premium,,,,13497.62,13321.43,13680,13810,13650,13650,13600,13572.73,13493.33,13126.19,13100,13097.5,14050,14050,13555.56,13073.91,13435.29,,13510.71,13770.83,13955.56,13100,13100,13102.38,13911.9,13860,14047.62,14047.73,13861.11,13879.55,13860,14004.76,14050,13105,13194.74,13250,13576.19,13502.63,13550,13542.86,13550,13550,13550,13550,13550,13464.29,13447.22,13550,13527.5,13475,13550,13550,13550,13550,13797.62,13800,14004.55,14626.19,14652.5,14819.05,14989.47,15338.1,15573.53
Maluku Utara,Beras Premium,,,,13821.43,13571.43,13525,13471.88,13650,13612.5,13600,13584.09,13593.75,13583.33,13628.57,13540,13500,13450,13294.44,13536.96,13486.11,,13536.96,13504.76,13500,13511.9,13507.5,13504.76,13504.76,13477.5,13526.19,13522.73,13508.33,13513.64,13492.11,13516.67,13500,13500,13500,13511.36,13500,13502.63,13500,13500,13495,13488.64,13582.5,13493.18,13486.96,13754.76,13752.78,13731.82,13700,13663.89,13740.48,13821.43,13997.83,14002.27,13957.14,14000,14272.73,14442.86,14380,15283.33,15586.84,15635.71,15650
Papua Barat,Beras Premium,,,,13719.05,13731.25,13950,13646.88,14300,13925,13662.5,13990.91,13983.33,14291.18,14300,14015.38,13800,13800,13611.11,13313.04,13350,,13304.35,13326.19,13333.33,13790.48,13680,13657.14,13338.64,13450,13292.86,13325,13316.67,13331.82,13371.05,13385.71,13407.5,13727.5,13615.79,13615.91,13485.71,13452.63,13471.43,13450,13457.5,13454.55,13485,13563.64,13563.04,13547.62,13555.56,13563.64,13565,13577.78,13554.76,13554.76,13560.87,13547.73,13976.19,14000,14070.45,13821.43,14022.5,14350,14760.53,14876.19,14776.47
Papua,Beras Premium,,,13400,13209.52,13187.5,13200,13193.75,,13150,13162.5,13150,13150,13150,13172.22,13270,13300,13250,13161.11,13189.13,13197.22,,13195.65,13192.86,13194.44,13247.62,13252.5,13250,13245.24,13245,13221.43,13190.91,13202.78,13202.27,13200,13202.38,13202.5,13180,13152.63,13150,13123.81,13157.89,13088.1,13090.48,13100,13100,13092.5,13097.73,13100,13102.38,13100,13115.91,13142.5,13150,13147.62,13152.38,13200,13263.64,14723.81,14840.91,15079.55,15002.38,15077.5,15266.67,15307.89,15397.62,15685.29
Aceh,Daging Ayam Ras,29263.04,27050,,24409.52,23471.43,22285.71,28093.75,28500,23562.5,20000,22068.18,25350,31204.55,29250,30090,30000,33500,32075,29486.96,24820.59,,28465.22,28516.67,28687.5,33680.56,29545.45,29207.89,23305,26066.67,31810.87,24906.52,22286.36,24145,26250,31678.57,30475,37487.5,31071.05,26802.27,28145.45,29127.78,30221.43,28804.76,27597.5,28159.09,29337.5,29047.73,30378.26,33664.29,28541.67,28413.64,32322.5,34233.33,32170.51,30857.14,28926.09,30268.18,28723.81,29884.09,33422.73,31697.62,29097.5,29430.95,29907.89,31719.05,33911.76
Sumatera Utara,Daging Ayam Ras,31328.26,29000,,30050,29578.57,27710,32559.38,35250,28525,28000,27772.73,28700,29754.55,29845,29332.5,29816.67,29933.33,33913.64,34203.7,28670.69,,30690.28,29750,31055.56,28352.08,28079.55,26774.51,25008.75,28709.62,36108.93,31662.5,28138.46,29345.92,30571.15,33364.81,34290.91,36718.33,36857.14,31878.26,31317.39,32157.5,33234.78,30257.14,29380,29443.75,31245,30636.96,32428.26,35811.9,32083.33,30800,33447.5,36736.67,32780.77,30180.95,30060.87,30754.55,29552.38,31034.09,33340.91,33969.05,31232.5,31814.29,32236.84,35916.67,39426.47
Sumatera Barat,Daging Ayam Ras,39069.57,36650,,36688.1,37578.57,36920,43637.5,45000,37850,34537.5,34861.36,38653.33,37834.09,37325,36480,40325,40750,39800,42195.65,37452.78,,37016.67,36137.5,36083.33,36823.61,34447.22,36267.86,31934.38,33997.83,43931.25,37014,29732.26,30551.75,33035.42,34652.78,34440.32,35015.63,32400,34807.41,35778.26,34068.42,33026.19,31627.27,31250,30746.43,31379.17,29622.86,32120,37404.76,34197.22,34441.3,34190,38220,34457.69,33666.67,33523.91,33191.67,33735.71,33822.73,35136.36,35426.19,32850,33128.57,33123.68,35278.57,37697.06
Riau,Daging Ayam Ras,30986.96,30150,,27752.38,31541.67,29120,36290.63,,27925,27750,26625,29166.67,27804.55,26080,27200,33500,29000,33900,34310.87,30441.67,,33204.35,31583.33,30275,27905.88,25960.61,28780.77,23803.13,27547.83,33928.26,28713.04,25831.82,26521.25,27376.19,32757.14,31765,32610,31357.89,31075,32095.45,31813.16,33385.71,27733.33,26055,29013.64,30452.5,29843.18,31358.7,36740.48,29813.89,32606.82,33505,33996.67,29862.82,28385.71,27560.87,27604.55,25914.29,28013.64,31379.55,30595.24,26682.5,27371.43,28428.95,32485.71,35438.24
Jambi,Daging Ayam Ras,35895.65,31800,,32942.86,35228.57,31700,38150,36300,29450,31025,29379.55,31500,32511.36,26388.89,27020,37650,37650,34768.75,34104.35,31279.41,,32054.35,32616.67,30671.43,28805.88,28792.42,28450,21996.67,29856.52,37247.83,31597.83,27652.27,29805,31464.29,33811.9,33902.5,32150,30192.11,32875,34976.19,36402.78,37226.19,31380.95,29637.5,32584.09,31350,29988.64,32717.39,36654.76,30472.22,34215.91,36612.5,36775,35974.36,32880.95,29260.87,29636.36,29214.29,29538.64,31850,31797.62,30750,31130.95,30960.53,33702.38,34955.88
Sumatera Selatan,Daging Ayam Ras,34080.43,31325,,32997.62,35392.86,34428.57,39350,42500,29562.5,29850,28752.27,32390,29852.27,26800,28167.5,33450,35000,34071.43,33120,29656.25,,32034.78,30778.57,30214.29,27605.56,29803.03,29223.68,23026.67,30042.86,35130.43,30404.35,27604.55,28770,28704.76,33250,32307.5,32852.5,31205.26,31613.64,36221.43,35600,35211.9,27400,27723.81,31545.45,33485.71,31081.82,33330.43,38235.71,29522.22,33822.73,35892.5,35938.33,32328.21,33488.1,28850,28311.36,27354.76,27609.09,32040.91,30340.48,28115,30157.14,30523.68,34788.1,35767.65
Bengkulu,Daging Ayam Ras,38652.17,33750,,34690.48,41250,37583.33,40400,44000,32250,30375,30136.36,32428.57,32863.64,28444.44,29825,38000,,37450,35434.78,30058.82,,35173.91,31833.33,31625,29191.18,31306.06,30194.74,25755,32680.43,38021.74,32304.35,29864.29,30657.5,31190,38076.19,35755.26,36600,32842.11,35000,38023.81,38210.53,38619.05,30428.57,30050,33636.36,33725,33818.18,35739.13,41380.95,32472.22,35795.45,38150,37333.33,34166.67,34428.57,30413.04,29454.55,28261.9,28636.36,34909.09,31400,29320,30664.29,31510.53,37714.29,37841.18
Lampung,Daging Ayam Ras,32793.48,33000,,34100,35857.14,37285.71,39968.75,,34900,32437.5,32045.45,34482.14,33772.73,32105.56,32005,34100,37625,37171.43,34378.26,34955.88,,34280.43,34628.57,33475,32016.18,32312.12,33519.74,29078.33,33204.76,38321.74,35084.78,32581.82,31153.75,32095.24,34590.48,35280,34425,33510.53,33631.82,36928.57,37780.56,37433.33,32266.67,31502.5,34861.36,35150,34361.36,35530.43,38045.24,33861.11,35500,37460,38533.33,36667.95,36507.14,34015.22,33945.45,32500,32422.73,34302.27,33402.38,32517.5,32976.19,34613.16,36811.9,37026.47
Bangka Belitung,Daging Ayam Ras,34184.78,33750,,37285.71,38375,32375,32466.67,,30250,30375,33295.45,32933.33,27500,26638.89,29675,43000,33000,32012.5,35958.7,31731.82,,27507.58,29736,33068.75,28315.31,22673.47,26388,22132.98,29764.29,33892.42,33443.55,25404.29,28516.3,29137.93,33548.39,34206.52,32633.93,26725.93,31803.03,35765.15,37312.5,36793.48,34343.75,30000,37548.21,37213.64,36568.75,40645.65,39319.05,36086.11,37209.09,39832.5,37950,40033.33,36726.19,33923.91,34886.36,31809.52,29970.45,35811.36,36557.14,30837.5,33309.52,34268.42,37145.24,40420.59
Kepulauan Riau,Daging Ayam Ras,36434.78,37000,,31440.48,31875,33250,36234.38,,36062.5,33875,36647.73,38117.65,40909.09,38555.56,37725,40750,42750,39944.44,37858.7,37027.78,,35315.22,37821.43,37125,38911.76,38848.48,36368.42,34800,36047.62,37445.65,37228.26,35170.45,34431.25,35431.82,35214.29,34618.42,41500,40815.79,36397.73,36523.81,39597.22,38452.38,40250,35487.5,35534.09,37825,35965.91,37315.22,38583.33,36347.22,36965.91,36812.5,38875,37498.72,36011.9,35054.35,35965.91,35464.29,35659.09,36750,38397.62,35172.5,36300,37181.58,39169.05,38991.18
DKI Jakarta,Daging Ayam Ras,31471.74,30800,,30992.86,35085.71,34266.67,31821.88,33450,31050,30637.5,30443.18,31253.57,31404.55,30660,30995,31550,31550,33427.78,30463.04,30159.38,,29882.61,30397.62,30818.75,30907.35,30609.09,30775,30686.67,34241.3,33632.61,32510.87,32363.64,31801.25,31705,33197.62,33832.5,32907.5,30639.47,30447.73,32614.29,33607.89,31704.76,30578.57,31442.5,31720.45,32230,32236.36,33300,34526.19,33650,33815.91,35547.5,35300,35767.95,35871.43,34986.96,33922.73,33447.62,34284.09,35070.45,35145.24,34842.5,34223.81,37028.95,37397.62,37100
Jawa Barat,Daging Ayam Ras,35423.91,34900,,34788.1,36250,37368.75,39106.25,37900,34100,34312.5,34206.82,36578.57,35186.36,33850,32725,34675,37000,35175,34580.43,34564.71,,33821.74,34716.67,34006.25,34309.52,34465.15,34538.75,32039.39,34373.91,38656.52,36406.52,32752.27,30595,31078.57,34126.19,34920,36142.5,34973.68,34797.73,38900,38200,35438.1,33742.86,33015,33700,34080,34377.27,35828.26,37592.86,34511.11,35941.67,38820,37028.79,37610.26,37397.62,35273.91,34800,33895.24,34220.45,35134.09,34754.76,34130,34609.52,37152.63,36840.48,39020.59
Jawa Tengah,Daging Ayam Ras,35204.35,32350,,33097.62,34435.71,36670,37221.88,,32350,32375,32861.36,34850,34318.18,32812.5,29852.5,33050,32950,44896.67,40802.22,32720.59,,32430.68,32965.85,31896.43,31333.82,32086.51,31514.38,28185.25,33414.29,37234.44,33905.56,29246.43,29539.24,29874.36,34250,34456.76,34007.35,32710.42,33704.69,37556.45,37920.69,33734.78,31431.25,33027.27,33195.65,33404.55,33738.89,34662.96,37213.04,33711.11,34684.09,38389.13,36338.33,37147.44,37571.43,35245.65,34159.09,32488.1,33113.64,34111.36,33366.67,32977.5,33566.67,37023.68,36490.48,39247.06
D.I. Yogyakarta,Daging Ayam Ras,34723.91,32975,,31830.95,33771.43,35930,36687.5,39000,32487.5,32062.5,32022.73,33500,34045.45,32105.56,31687.5,33000,34000,34865.63,33950,33043.75,,32691.3,33827.27,32781.25,31902.94,32769.7,32370.73,28471.43,34308.7,37876.09,34784,30791.3,30563.75,30710,33942.86,34642.11,35472.5,33868.42,34213.64,38880.95,38505.26,34616.67,32654.76,33095,33984.09,33952.5,34081.82,35910.87,38678.57,35352.78,35777.27,39712.5,37546.67,38401.28,38921.43,35547.83,34827.27,32988.1,33761.36,35034.09,33488.1,32987.5,33573.81,37489.47,36440.48,38820.59
Jawa Timur,Daging Ayam Ras,32782.61,32200,,31014.29,33871.43,35075,34460,,30500,30237.5,32584.09,33840,33468.18,32144.44,31597.5,33233.33,31700,32426.47,32032.22,32313.64,,31704.17,33204.76,30690,30505.88,32167.24,31115.79,26789.06,33945.65,36360.87,32910.87,27838.64,27507.5,27790.48,31864.29,33160,32202.5,30626.32,33020.45,36963.64,36260.53,31485.71,28240.48,30070,31302.27,32382.5,32693.18,33584.78,36657.14,31863.89,33388.64,36959.52,33795,35084.62,38507.14,33884.78,32427.27,30009.52,31154.55,32384.09,30809.52,30672.5,31092.86,34497.37,34809.52,37367.65
Banten,Daging Ayam Ras,36456.82,36300,,33826.19,36825,37892.86,39615.63,40500,36825,35350,35802.27,37336.67,36909.09,32888.89,33475,37000,35900,37442.86,35684.78,35467.5,,34590.32,36973.91,36150,33500,33632.35,33684.21,31338.89,35400,40345.65,36493.48,33700,31690,32611.9,34845.24,35677.5,34600,35315.79,36302.27,38188.1,40688.89,38533.33,37426.19,36310,35902.27,35932.5,35875,37269.57,38902.38,36986.11,38102.27,40165,39816.67,39158.97,38519.05,36686.96,35868.18,35428.57,35470.45,35750,35447.62,35682.5,36307.14,38178.95,38033.33,39661.76
Bali,Daging Ayam Ras,34647.83,34750,,37804.76,37535.71,36766.67,39868.75,40500,36187.5,34387.5,36813.64,40433.33,38306.82,37083.33,34862.5,35250,37750,36305,36755.56,36315.79,,35393.48,36757.14,36525,35002.94,36328.79,34647.37,30675,36641.3,41608.7,38717.39,30713.64,30527.5,29707.14,34742.86,37710,36567.5,33623.68,34950,42428.57,37855.26,35521.43,30247.62,31022.5,37322.73,36525,36272.73,36219.57,41292.86,35150,35388.64,40215,37506.67,37876.92,41050,37589.13,35420.45,34809.52,35006.82,36315.91,36371.43,34827.5,35478.57,37402.63,40173.81,41867.65
Nusa Tenggara Barat,Daging Ayam Ras,40289.13,36650,,41864.29,38818.75,38871.43,45834.38,,31112.5,42312.5,42888.64,43832.14,37765.91,34760,35707.5,37416.67,36900,41355.56,43113.04,36763.89,,42347.83,42590.48,39942.86,37435.29,38228.79,35215.79,35211.67,39021.43,45393.48,45486.96,36788.64,39607.5,41947.62,39954.76,42463.16,39492.5,38015.79,42781.82,44059.52,46433.33,46738.1,41147.62,39390,43534.09,43502.5,43593.18,42789.13,45378.57,41547.22,41240.91,45207.5,44096.67,44374.36,45766.67,43986.96,42795.45,42871.43,41781.82,43563.64,41078.57,35405,37238.1,43581.58,43442.86,44394.12
Nusa Tenggara Timur,Daging Ayam Ras,42391.3,42500,,29007.14,29400,28975,37812.5,40000,44375,40625,38465.91,42232.14,50000,48625,47175,35000,30500,37894.44,41143.48,38177.78,,40619.57,39785.71,45750,39752.94,39715.15,33311.84,41240,38026.32,43171.74,50056.52,44859.09,43608.75,41642.86,45050,45217.5,34990,35000,41720.45,45700,44533.33,43142.86,42980.95,39675,43779.55,47275,46488.64,44260.87,43028.57,43394.44,48775,52472.5,52961.67,46794.87,42652.38,45578.26,43320.45,42216.67,41456.82,42815.91,42966.67,44477.5,44319.05,44721.05,41985.71,43776.47
Kalimantan Barat,Daging Ayam Ras,31028.26,28100,,32792.86,33857.14,38007.14,33683.33,41000,31837.5,30487.5,31000,33700,33600,26666.67,25710,36450,32000,35293.75,34186.96,32488.24,,33821.74,35707.14,33150,31573.53,35348.48,32178.95,28296.67,31175,44341.3,39843.48,32809.09,33086.25,35465.91,42002.38,38447.5,33200,33868.42,32670.45,35938.64,38576.32,43114.29,37447.62,33007.5,36770.45,40280,37627.27,35063.04,36859.52,39952.78,38897.73,38270,37456.67,40855.13,38919.05,35776.09,38843.18,38471.43,36484.09,37868.18,38161.9,36615,35480.95,36897.37,37495.24,41585.29
Kalimantan Tengah,Daging Ayam Ras,32858.7,30500,,33738.1,37464.29,40041.67,38906.25,35750,32375,38250,32125,37285.71,40272.73,34222.22,34950,37250,37000,35134.62,34069.77,32106.06,,32534.48,40064.29,42218.75,36625,40545.45,37881.58,28860,33409.52,45880.43,38554.35,29454.55,29000,31500,34238.1,34921.05,34150,38684.21,38704.55,33166.67,38094.74,41154.76,38511.9,33050,37386.36,40912.5,40306.82,35619.57,40011.9,41430.56,38852.27,40100,40591.67,42980.77,35202.38,35021.74,38084.09,39447.62,38261.36,38354.55,38261.9,37175,35571.43,35210.53,39154.76,40338.24
